Continent,Country,Series,Year,Unit,Value
Asia,Afghanistan,Wine imports,2016,1000 hl,1
Asia,Afghanistan,Wine consumption,2016,1000 hl,1
Asia,Afghanistan,Consumption of wine per capita (+15),2016,l/capita (+15),0
Europe,Albania,Wine production,2016,1000 hl,178
Europe,Albania,Wine exports,2016,1000 hl,0
Europe,Albania,Wine imports,2016,1000 hl,41
Europe,Albania,Wine consumption,2016,1000 hl,255
Europe,Albania,Consumption of wine per capita (+15),2016,l/capita (+15),10.6
Africa,Algeria,Wine production,2016,1000 hl,574
Africa,Algeria,Wine exports,2016,1000 hl,2
Africa,Algeria,Wine imports,2016,1000 hl,113
Africa,Algeria,Wine consumption,2016,1000 hl,441
Africa,Algeria,Consumption of wine per capita (+15),2016,l/capita (+15),1.5
Oceania,American Samoa,Wine imports,2016,1000 hl,0
Oceania,American Samoa,Wine consumption,2016,1000 hl,0
Africa,Angola,Wine exports,2016,1000 hl,0
Africa,Angola,Wine imports,2016,1000 hl,850
Africa,Angola,Wine consumption,2016,1000 hl,933
Africa,Angola,Consumption of wine per capita (+15),2016,l/capita (+15),6.1
America,Antigua And Barbuda,Wine exports,2016,1000 hl,0
America,Antigua And Barbuda,Wine imports,2016,1000 hl,28
America,Antigua And Barbuda,Wine consumption,2016,1000 hl,21
America,Antigua And Barbuda,Consumption of wine per capita (+15),2016,l/capita (+15),26.3
America,Argentina,Wine production,2016,1000 hl,9447
America,Argentina,Wine exports,2016,1000 hl,2598
America,Argentina,Wine imports,2016,1000 hl,93
America,Argentina,Wine consumption,2016,1000 hl,9416
America,Argentina,Consumption of wine per capita (+15),2016,l/capita (+15),28.7
Asia,Armenia,Wine production,2016,1000 hl,75
Asia,Armenia,Wine exports,2016,1000 hl,18
Asia,Armenia,Wine imports,2016,1000 hl,3
Asia,Armenia,Wine consumption,2016,1000 hl,59
Asia,Armenia,Consumption of wine per capita (+15),2016,l/capita (+15),2.5
Oceania,Australia,Wine production,2016,1000 hl,13100
Oceania,Australia,Wine exports,2016,1000 hl,7280
Oceania,Australia,Wine imports,2016,1000 hl,878
Oceania,Australia,Wine consumption,2016,1000 hl,5380
Oceania,Australia,Consumption of wine per capita (+15),2016,l/capita (+15),27.5
Europe,Austria,Wine production,2016,1000 hl,1953
Europe,Austria,Wine exports,2016,1000 hl,485
Europe,Austria,Wine imports,2016,1000 hl,824
Europe,Austria,Wine consumption,2016,1000 hl,2423
Europe,Austria,Consumption of wine per capita (+15),2016,l/capita (+15),32.4
Asia,Azerbaijan,Wine production,2016,1000 hl,105
Asia,Azerbaijan,Wine exports,2016,1000 hl,1
Asia,Azerbaijan,Wine imports,2016,1000 hl,4
Asia,Azerbaijan,Wine consumption,2016,1000 hl,106
Asia,Azerbaijan,Consumption of wine per capita (+15),2016,l/capita (+15),1.4
America,Bahamas,Wine exports,2016,1000 hl,1
America,Bahamas,Wine imports,2016,1000 hl,27
America,Bahamas,Wine consumption,2016,1000 hl,32
America,Bahamas,Consumption of wine per capita (+15),2016,l/capita (+15),10.3
Asia,Bangladesh,Wine imports,2016,1000 hl,1
Asia,Bangladesh,Wine consumption,2016,1000 hl,1
Asia,Bangladesh,Consumption of wine per capita (+15),2016,l/capita (+15),0
America,Barbados,Wine exports,2016,1000 hl,1
America,Barbados,Wine imports,2016,1000 hl,34
America,Barbados,Wine consumption,2016,1000 hl,34
America,Barbados,Consumption of wine per capita (+15),2016,l/capita (+15),14.8
Europe,Belarus,Wine production,2016,1000 hl,274
Europe,Belarus,Wine exports,2016,1000 hl,22
Europe,Belarus,Wine imports,2016,1000 hl,485
Europe,Belarus,Wine consumption,2016,1000 hl,756
Europe,Belarus,Consumption of wine per capita (+15),2016,l/capita (+15),9.6
Europe,Belgium And Luxembourg,Wine exports,2016,1000 hl,
Europe,Belgium And Luxembourg,Wine imports,2016,1000 hl,0
Europe,Belgium,Wine production,2016,1000 hl,8
Europe,Belgium,Wine exports,2016,1000 hl,301
Europe,Belgium,Wine imports,2016,1000 hl,3120
Europe,Belgium,Wine consumption,2016,1000 hl,3000
Europe,Belgium,Consumption of wine per capita (+15),2016,l/capita (+15),31.9
America,Belize,Wine exports,2016,1000 hl,0
America,Belize,Wine imports,2016,1000 hl,13
America,Belize,Wine consumption,2016,1000 hl,13
America,Belize,Consumption of wine per capita (+15),2016,l/capita (+15),5.2
Africa,Benin,Wine exports,2016,1000 hl,0
Africa,Benin,Wine imports,2016,1000 hl,34
Africa,Benin,Wine consumption,2016,1000 hl,39
Africa,Benin,Consumption of wine per capita (+15),2016,l/capita (+15),0.6
America,Bermuda,Wine imports,2016,1000 hl,15
America,Bermuda,Wine consumption,2016,1000 hl,15
America,Bolivia,,,,
America,Bolivia,,,,
America,Bolivia,,,,
America,Bolivia,,,,
America,Bolivia,,,,
Europe,Bosnia And Herzegovina,Wine production,2016,1000 hl,51
Europe,Bosnia And Herzegovina,Wine exports,2016,1000 hl,20
Europe,Bosnia And Herzegovina,Wine imports,2016,1000 hl,80
Europe,Bosnia And Herzegovina,Wine consumption,2016,1000 hl,109
Europe,Bosnia And Herzegovina,Consumption of wine per capita (+15),2016,l/capita (+15),3.6
Africa,Botswana,Wine exports,2016,1000 hl,0
Africa,Botswana,Wine imports,2016,1000 hl,37
Africa,Botswana,Wine consumption,2016,1000 hl,35
Africa,Botswana,Consumption of wine per capita (+15),2016,l/capita (+15),2.3
America,Brazil,Wine production,2016,1000 hl,1257
America,Brazil,Wine exports,2016,1000 hl,20
America,Brazil,Wine imports,2016,1000 hl,921
America,Brazil,Wine consumption,2016,1000 hl,3112
America,Brazil,Consumption of wine per capita (+15),2016,l/capita (+15),1.9
Asia,Brunei Darussalam,Wine imports,2016,1000 hl,1
Asia,Brunei Darussalam,Wine consumption,2016,1000 hl,0
Europe,Bulgaria,Wine production,2016,1000 hl,1206
Europe,Bulgaria,Wine exports,2016,1000 hl,454
Europe,Bulgaria,Wine imports,2016,1000 hl,73
Europe,Bulgaria,Wine consumption,2016,1000 hl,1028
Europe,Bulgaria,Consumption of wine per capita (+15),2016,l/capita (+15),16.8
Africa,Burkina Faso,Wine exports,2016,1000 hl,1
Africa,Burkina Faso,Wine imports,2016,1000 hl,32
Africa,Burkina Faso,Wine consumption,2016,1000 hl,31
Africa,Burkina Faso,Consumption of wine per capita (+15),2016,l/capita (+15),0.3
Africa,Burundi,Wine exports,2016,1000 hl,0
Africa,Burundi,Wine imports,2016,1000 hl,2
Africa,Burundi,Wine consumption,2016,1000 hl,2
Africa,Burundi,Consumption of wine per capita (+15),2016,l/capita (+15),0
Asia,Cambodia,Wine exports,2016,1000 hl,0
Asia,Cambodia,Wine imports,2016,1000 hl,12
Asia,Cambodia,Wine consumption,2016,1000 hl,14
Asia,Cambodia,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
Africa,Cameroon,Wine exports,2016,1000 hl,1
Africa,Cameroon,Wine imports,2016,1000 hl,76
Africa,Cameroon,Wine consumption,2016,1000 hl,63
Africa,Cameroon,Consumption of wine per capita (+15),2016,l/capita (+15),0.5
America,Canada,Wine production,2016,1000 hl,548
America,Canada,Wine exports,2016,1000 hl,717
America,Canada,Wine imports,2016,1000 hl,4157
America,Canada,Wine consumption,2016,1000 hl,4996
America,Canada,Consumption of wine per capita (+15),2016,l/capita (+15),16.4
Africa,Cape Verde,Wine exports,2016,1000 hl,0
Africa,Cape Verde,Wine imports,2016,1000 hl,68
Africa,Cape Verde,Wine consumption,2016,1000 hl,63
Africa,Cape Verde,Consumption of wine per capita (+15),2016,l/capita (+15),17
Africa,Chad,Wine exports,2016,1000 hl,0
Africa,Chad,Wine imports,2016,1000 hl,7
Africa,Chad,Wine consumption,2016,1000 hl,5
Africa,Chad,Consumption of wine per capita (+15),2016,l/capita (+15),0.1
America,Chile,Wine production,2016,1000 hl,10143
America,Chile,Wine exports,2016,1000 hl,9076
America,Chile,Wine imports,2016,1000 hl,25
America,Chile,Wine consumption,2016,1000 hl,2433
America,Chile,Consumption of wine per capita (+15),2016,l/capita (+15),17.1
Asia,China,Wine production,2016,1000 hl,13217
Asia,China,Wine exports,2016,1000 hl,100
Asia,China,Wine imports,2016,1000 hl,6389
Asia,China,Wine consumption,2016,1000 hl,19162
Asia,China,Consumption of wine per capita (+15),2016,l/capita (+15),1.7
America,Colombia,Wine exports,2016,1000 hl,0
America,Colombia,Wine imports,2016,1000 hl,181
America,Colombia,Wine consumption,2016,1000 hl,285
America,Colombia,Consumption of wine per capita (+15),2016,l/capita (+15),0.8
Africa,Comoros,Wine imports,2016,1000 hl,3
Africa,Comoros,Wine consumption,2016,1000 hl,3
Africa,Comoros,Consumption of wine per capita (+15),2016,l/capita (+15),0.6
Africa,Congo,,,,
Africa,Congo,,,,
Africa,Congo,,,,
Africa,Congo,,,,
Africa,Congo,,,,
